Name,Location,Year,Miles_Driven,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mpg,Mileage km/l,Engine,Power,Seats,New_Price,Price,Difference
Maruti Swift VDI,Jaipur,2012,58962,95100,Diesel,Manual,First,53.82,22.9,1248 CC,74 bhp,5,,3.75,3.75
Tata Zest Revotron 1.2T XE,Pune,2017,43400,70000,Petrol,Manual,First,41.29,17.57,1193 CC,88.7 bhp,5,6.67,4.5,2.17
Honda Amaze SX i-VTEC,Kochi,2016,34065,54944,Petrol,Manual,First,42.30,18,1198 CC,86.7 bhp,5,,4.82,4.82
Ford Figo Diesel ZXI,Hyderabad,2012,43609,70337,Diesel,Manual,First,47.00,20,1399 CC,68 bhp,5,,2.8,2.8
Maruti Ritz VDi,Jaipur,2013,61776,99638,Diesel,Manual,First,54.52,23.2,1248 CC,73.94 bhp,5,,3.11,3.11
Honda City i VTEC E,Delhi,2009,32240,52000,Petrol,Manual,First,41.83,17.8,1497 CC,117.3 bhp,5,,3.25,3.25
BMW 5 Series 2003-2012 525d,Delhi,2011,46500,75000,Diesel,Automatic,Second,39.32,16.73,1995 CC,218 bhp,5,,13.9,13.9
Hyundai i10 Sportz 1.2,Pune,2009,59508,95980,Petrol,Manual,First,47.85,20.36,1197 CC,78.9 bhp,5,,2.25,2.25
Hyundai Grand i10 Sportz,Bangalore,2016,9920,16000,Petrol,Manual,First,44.42,18.9,1197 CC,82 bhp,5,,5.75,5.75
Honda Amaze SX i-VTEC,Mumbai,2016,11748,18949,Petrol,Manual,First,41.83,17.8,1198 CC,86.7 bhp,5,,5,5
Toyota Fortuner 4x2 Manual,Delhi,2014,66340,107000,Diesel,Manual,First,30.55,13,2982 CC,168.5 bhp,7,,16.5,16.5
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,29988,48367,Diesel,Automatic,First,41.55,17.68,1968 CC,174.33 bhp,5,,39.58,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,35340,57000,Diesel,Manual,First,53.35,22.7,1498 CC,89.84 bhp,5,,5.5,5.5
Mahindra XUV500 W8 2WD,Delhi,2014,35960,58000,Diesel,Manual,First,35.49,15.1,2179 CC,140 bhp,7,,8.1,8.1
Honda Amaze SX i-DTEC,Kolkata,2015,18600,30000,Diesel,Manual,First,60.63,25.8,1498 CC,98.6 bhp,5,,3.5,3.5
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,21211,34212,Diesel,Manual,First,51.86,22.07,1199 CC,73.9 bhp,5,,2.79,2.79
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,43401,70002,Diesel,Manual,First,38.07,16.2,1493 CC,110 bhp,5,,3.45,3.45
Maruti Wagon R VXI BS IV,Bangalore,2016,38440,62000,Petrol,Manual,First,44.42,18.9,998 CC,67.1 bhp,5,,4.45,4.45
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,38441,62001,Petrol,Manual,First,35.86,15.26,1598 CC,103.5 bhp,5,,2.65,2.65
Hyundai i20 1.4 CRDi Sportz,Pune,2011,48954,78958,Diesel,Manual,Second,54.05,23,1396 CC,90 bhp,5,,3.8,3.8
Hyundai i20 Asta 1.2,Mumbai,2014,18712,30180,Petrol,Manual,First,43.48,18.5,1197 CC,82.85 bhp,5,,4.65,4.65
Datsun GO Plus T Petrol,Pune,2017,20368,32851,Petrol,Manual,First,46.60,19.83,1198 CC,67 bhp,7,6.45,3.95,2.5
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,18600,30000,Diesel,Automatic,First,35.11,14.94,2967 CC,241.4 bhp,5,,9.8,9.8
Hyundai i20 2015-2017 Asta,Pune,2009,40920,66000,Petrol,Manual,Second,39.95,17,1197 CC,80 bhp,5,,2.7,2.7
Maruti Omni 5 Str STD,Coimbatore,2010,58187,93850,Petrol,Manual,First,32.90,14,796 CC,35 bhp,5,,2.41,2.41
Toyota Etios Liva 1.2 G,Ahmedabad,2014,32860,53000,Petrol,Manual,First,41.62,17.71,1197 CC,78.9 bhp,5,6.41,3.9,2.51
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,48360,78000,Diesel,Automatic,Second,34.64,14.74,2993 CC,270.9 bhp,5,,24,24
Mahindra XUV500 W8 2WD,Delhi,2012,40300,65000,Diesel,Manual,Second,37.60,16,2179 CC,140 bhp,7,,5.75,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,24800,40000,Diesel,Automatic,First,52.45,22.32,1582 CC,126.32 bhp,5,,5.25,5.25
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,18600,30000,Diesel,Automatic,First,26.70,11.36,2755 CC,171.5 bhp,7,27.00,19.25,7.75
Maruti Eeco 5 Seater AC,Coimbatore,2017,23593,38053,Petrol,Manual,First,35.49,15.1,1196 CC,73 bhp,5,5.13,3.91,1.22
Tata Nano Twist XT,Bangalore,2014,15810,25500,Petrol,Manual,First,59.69,25.4,624 CC,37.5 bhp,4,,2.15,2.15
BMW 3 Series 320d Luxury Line,Mumbai,2015,34774,56087,Diesel,Automatic,First,53.32,22.69,1995 CC,190 bhp,5,54.43,20.75,33.68
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,44075,71088,Petrol,Manual,First,31.73,13.5,1799 CC,130 bhp,5,,3.35,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,34100,55000,Diesel,Manual,First,30.53,12.99,2494 CC,100.6 bhp,7,,11.11,11.11
Volvo V40 Cross Country D3,Bangalore,2014,20274,32700,Diesel,Automatic,First,54.76,23.3,1984 CC,150 bhp,5,,20,20
Nissan Micra XV CVT,Coimbatore,2016,24727,39882,Petrol,Automatic,First,45.00,19.15,1198 CC,75.94 bhp,5,9.51,6.55,2.96
BMW 5 Series 2010-2013 525i,Mumbai,2009,79360,128000,Petrol,Automatic,First,25.38,10.8,2497 CC,215 bhp,5,,7,7
Maruti Vitara Brezza VDi,Mumbai,2016,34100,55000,Diesel,Manual,First,57.11,24.3,1248 CC,88.5 bhp,5,9.96,7.5,2.46
Mercedes-Benz B Class B200 CDI,Pune,2014,33327,53753,Diesel,Automatic,Second,35.25,15,2143 CC,107.3 bhp,5,,16.75,16.75
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,6355,10250,Diesel,Manual,First,51.70,22,1582 CC,126.2 bhp,5,14.44,10.95,3.49
Maruti Wagon R LXI BS IV,Pune,2011,27202,43874,Petrol,Manual,First,44.42,18.9,998 CC,67.1 bhp,5,,2.45,2.45
Tata Nano XTA,Coimbatore,2017,20264,32684,Petrol,Automatic,First,51.47,21.9,624 CC,37.48 bhp,4,,3.23,3.23
Mahindra Scorpio VLX,Kolkata,2014,26040,42000,Diesel,Manual,First,28.32,12.05,2179 CC,120 bhp,8,,7.75,7.75
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,17578,28352,Petrol,Automatic,First,27.50,11.7,1796 CC,178 bhp,5,,9.35,9.35
Honda CR-V 2.4 MT,Bangalore,2007,29574,47700,Petrol,Manual,Second,25.38,10.8,2354 CC,152 bhp,5,,5.25,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,34100,55000,Diesel,Automatic,First,49.84,21.21,1498 CC,103.2 bhp,5,,7.25,7.25
Maruti Ciaz VXi Plus,Kochi,2017,27457,44285,Petrol,Manual,First,48.72,20.73,1373 CC,91.1 bhp,5,,7.47,7.47
Mahindra XUV500 AT W10 FWD,Jaipur,2016,33480,54000,Diesel,Automatic,First,37.60,16,2179 CC,140 bhp,7,,13.25,13.25
Maruti Ritz VXI ABS,Coimbatore,2016,18744,30232,Petrol,Manual,First,49.59,21.1,1197 CC,85.80 bhp,5,,5.81,5.81
Maruti Alto K10 VXI,Hyderabad,2014,54870,88500,Petrol,Manual,First,56.56,24.07,998 CC,67.1 bhp,5,4.53,2.6,1.93
Mercedes-Benz SLC 43 AMG,Kolkata,2017,8291,13372,Petrol,Automatic,First,44.65,19,2996 CC,362.07 bhp,2,95.04,54,41.04
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,7840,12645,Petrol,Automatic,First,39.95,17,1591 CC,121.3 bhp,5,13.49,11.5,1.99
Maruti Alto LXi BSIII,Chennai,2010,58519,94385,Petrol,Manual,Second,46.30,19.7,796 CC,46.3 bhp,5,,1.6,1.6
BMW 1 Series 118d Base,Coimbatore,2015,19729,31821,Diesel,Automatic,First,48.36,20.58,1995 CC,143 bhp,5,,17.22,17.22
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,7440,12000,Petrol,Automatic,First,44.65,19,1199 CC,88.7 bhp,5,,6,6
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,54918,88578,Petrol,Manual,First,31.73,13.5,1799 CC,130 bhp,5,,3.95,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,27878,44965,Diesel,Automatic,First,45.28,19.27,2143 CC,170 bhp,5,,17.95,17.95
Honda Amaze SX i-DTEC,Kolkata,2014,27927,45044,Diesel,Manual,First,60.63,25.8,1498 CC,98.6 bhp,5,,3.7,3.7
Maruti Swift VVT VXI,Kochi,2016,21206,34204,Petrol,Manual,First,51.70,22,1197 CC,81.80 bhp,5,,5.43,5.43
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,56566,91235,Diesel,Manual,First,27.03,11.5,2982 CC,171 bhp,7,,13.49,13.49
Chevrolet Beat LT Option,Pune,2014,24056,38800,Petrol,Manual,First,43.71,18.6,1199 CC,76.8 bhp,5,,2.85,2.85
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,51460,83000,Diesel,Manual,First,49.68,21.14,1498 CC,103.52 bhp,5,,4.75,4.75
Maruti Ciaz 1.4 Alpha,Kochi,2018,25595,41283,Petrol,Manual,First,48.72,20.73,1373 CC,91.1 bhp,5,,9.9,9.9
Audi RS5 Coupe,Mumbai,2013,14260,23000,Petrol,Automatic,First,25.97,11.05,2894 CC,444 bhp,4,1.28 Cr,37,#VALUE!
BMW 3 Series Luxury Line,Mumbai,2014,29760,48000,Diesel,Automatic,First,51.14,21.76,1995 CC,190 bhp,5,60.88,26.5,34.38
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,29893,48214,Diesel,Automatic,First,40.21,17.11,1968 CC,174.33 bhp,5,,23.32,23.32
Maruti Swift VDI,Chennai,2016,21700,35000,Diesel,Manual,First,53.82,22.9,1248 CC,74 bhp,5,,6.25,6.25
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,21872,35277,Petrol,Automatic,First,18.35,7.81,5461 CC,362.9 bhp,5,,30,30
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,33864,54620,Diesel,Automatic,First,50.90,21.66,1498 CC,103.52 bhp,5,,9.86,9.86
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,84938,136997,Diesel,Automatic,First,40.42,17.2,1968 CC,138.1 bhp,5,,8.5,8.5
Hyundai EON Magna Plus,Kochi,2019,8880,14322,Petrol,Manual,First,49.59,21.1,814 CC,55.2 bhp,5,,4.23,4.23
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,40693,65634,Diesel,Manual,First,51.86,22.07,1199 CC,73.9 bhp,5,,3.5,3.5
Datsun GO NXT,Kolkata,2016,3720,6000,Petrol,Manual,First,48.48,20.63,1198 CC,67.06 bhp,5,,2.5,2.5
Honda Brio S MT,Kolkata,2013,20634,33280,Petrol,Manual,First,45.59,19.4,1198 CC,86.8 bhp,5,,2.39,2.39
Mercedes-Benz B Class B180,Delhi,2013,17980,29000,Petrol,Automatic,First,34.78,14.8,1595 CC,120.7 bhp,5,,11.25,11.25
Honda City i DTEC V,Kochi,2015,26555,42831,Diesel,Manual,First,61.10,26,1498 CC,98.6 bhp,5,,7.11,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,55800,90000,Diesel,Manual,First,30.53,12.99,2494 CC,100.6 bhp,7,,10.9,10.9
Maruti Swift VXI Optional,Ahmedabad,2017,14883,24005,Petrol,Manual,First,47.94,20.4,1197 CC,81.80 bhp,5,,6.2,6.2
Mahindra XUV500 W8 2WD,Mumbai,2012,20331,32792,Diesel,Manual,First,35.49,15.1,2179 CC,140 bhp,7,,7.9,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,91697,147898,Diesel,Manual,First,53.35,22.7,1498 CC,89.84 bhp,5,,4.42,4.42
Toyota Fortuner 4x2 Manual,Mumbai,2012,81694,131765,Diesel,Manual,First,30.55,13,2982 CC,168.5 bhp,7,,13.5,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,40300,65000,Diesel,Automatic,First,50.53,21.5,1498 CC,108.5 bhp,5,,6.25,6.25
Ford Figo Diesel Titanium,Jaipur,2010,40996,66123,Diesel,Manual,Second,47.00,20,1399 CC,68 bhp,5,,2.1,2.1
BMW X5 xDrive 30d,Mumbai,2015,25420,41000,Diesel,Automatic,First,35.96,15.3,2993 CC,258 bhp,5,,45,45
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,14601,23550,Diesel,Automatic,First,45.28,19.27,2143 CC,167.62 bhp,5,,33.66,33.66
Honda Brio V MT,Bangalore,2012,27900,45000,Petrol,Manual,Second,45.59,19.4,1198 CC,86.8 bhp,5,,3.65,3.65
Hyundai i10 Magna 1.2,Delhi,2013,37200,60000,Petrol,Manual,First,47.85,20.36,1197 CC,78.9 bhp,5,,2.75,2.75
Mercedes-Benz GLC 220,Bangalore,2016,27537,44414,Diesel,Automatic,First,42.07,17.9,2143 CC,170 bhp,5,,42.5,42.5
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,620,1000,Petrol,Manual,First,44.42,18.9,1197 CC,81.86 bhp,5,7.39,6.5,0.89
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,38750,62500,Diesel,Automatic,Second,41.55,17.68,1968 CC,174.33 bhp,5,,19,19
Volkswagen Vento Petrol Highline AT,Mumbai,2013,13020,21000,Petrol,Automatic,Second,33.84,14.4,1598 CC,103.6 bhp,5,,4.45,4.45
Mini Countryman Cooper D,Jaipur,2017,5286,8525,Diesel,Automatic,Second,39.01,16.6,1998 CC,112 bhp,5,,23,23
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,17980,29000,Diesel,Manual,First,52.97,22.54,1396 CC,88.73 bhp,5,,8.35,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,24800,40000,Diesel,Automatic,First,41.55,17.68,1968 CC,174.33 bhp,5,,22.95,22.95
Chevrolet Beat Diesel LT,Jaipur,2012,54560,88000,Diesel,Manual,First,59.78,25.44,936 CC,57.6 bhp,5,,1.5,1.5
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,33193,53537,Petrol,Automatic,First,32.20,13.7,1798 CC,157.75 bhp,5,,6.89,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,133920,216000,Diesel,Manual,Second,41.83,17.8,1399 CC,68 bhp,5,,1.45,1.45
BMW 5 Series 520d Luxury Line,Hyderabad,2014,31620,51000,Diesel,Automatic,First,52.83,22.48,1995 CC,190 bhp,5,69.47,33.5,35.97
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,73470,118500,Petrol,Manual,First,30.32,12.9,1598 CC,102.5 bhp,5,,1.25,1.25
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,39060,63000,Diesel,Manual,First,51.86,22.07,1199 CC,73.9 bhp,5,,4.2,4.2
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,15500,25000,Diesel,Manual,First,46.95,19.98,1461 CC,108.5 bhp,8,,6.75,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,23177,37382,Diesel,Automatic,First,30.55,13,2143 CC,201.1 bhp,5,,32,32
Maruti Baleno Alpha,Kochi,2017,15359,24773,Petrol,Manual,First,50.29,21.4,1197 CC,83.1 bhp,5,8.78,7.5,1.28
