Customer ID,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
542031,F,1/11/1953,115.53,16-07-2023,Berry-Huerta,Market
875584,M,1/11/1954,51.63,2/9/2023,Tucker Group,Clothing
611091,M,27-10-1975,61.23,10/8/2023,"Smith, Everett and Ellis",Restaurant
670772,,2/11/1949,603.67,30-03-2023,Rodriguez Group,Electronics
527458,M,20-10-2001,327.2,29-04-2023,Lewis Ltd,Electronics
403988,M,30-10-1963,98.19,15-06-2023,"Aguirre, Thompson and Davis",Restaurant
7829,M,30-10-1962,18.03,16-06-2023,Gonzalez-Larson,Restaurant
99529,M,23-10-1991,128.19,17-06-2023,Li-Lucas,Market
889604,F,26-10-1977,97.47,2/1/2023,Guzman Ltd,Restaurant
531316,F,19-10-2005,537.07,24-06-2023,Williams Group,Travel
443377,M,22-10-1994,791.56,2/1/2023,Bailey and Sons,Electronics
723676,F,27-10-1975,87.06,19-02-2023,"James, West and Smith",Clothing
609070,M,2/11/1950,741.27,2/7/2023,Chandler-Watkins,Electronics
848726,M,22-10-1994,527.27,21-02-2023,Green LLC,Electronics
966310,M,25-10-1980,80.19,10/2/2023,Taylor-Thompson,Restaurant
618528,M,25-10-1983,14.92,4/1/2023,Owens LLC,Restaurant
696639,M,31-10-1956,196.46,24-01-2023,Wood-Williams,Electronics
537845,,22-10-1993,424.43,2/4/2023,Nixon-Thompson,Market
202536,F,25-10-1981,505.33,17-08-2023,Garcia and Sons,Electronics
455049,F,21-10-1999,1641.29,20-06-2023,Haley-Smith,Travel
893073,F,31-10-1959,122.58,7/2/2023,"Romero, Woods and Flores",Cosmetic
513376,,28-10-1971,274.06,3/10/2023,Day LLC,Clothing
6526,F,28-10-1969,344.11,17-02-2023,"Cook, Estrada and Anderson",Market
807777,M,2/11/1949,83,29-03-2023,Henderson Ltd,Restaurant
557862,F,20-10-2002,2045.17,4/7/2023,Carter Group,Travel
26510,,30-10-1960,93.86,16-06-2023,"Hernandez, Smith and Molina",Market
384523,M,2/11/1950,265.62,22-01-2023,Stone Ltd,Electronics
491218,,28-10-1968,91.53,31-05-2023,"Henderson, Brooks and Sanchez",Market
382546,,19-10-2004,742.48,22-06-2023,"Powell, Spencer and Abbott",Electronics
326446,M,1/11/1954,2260.68,5/5/2023,Alexander-Miller,Travel
124147,F,28-10-1969,784.94,5/10/2023,"Lester, West and Walker",Travel
401596,F,21-10-1997,125.32,28-01-2023,"Cain, Ross and Sanchez",Cosmetic
469417,F,2/11/1949,998,20-05-2023,"Parker, Fuller and Coleman",Electronics
66785,F,30-10-1962,81.6,3/9/2023,Sanders-Lamb,Restaurant
616911,F,28-10-1970,103.34,20-08-2023,Coleman LLC,Cosmetic
643778,F,25-10-1983,49.77,29-07-2023,Carter-Garcia,Restaurant
485816,M,28-10-1968,168.02,27-01-2023,Mcintosh-Snyder,Cosmetic
951432,F,29-10-1967,2028.85,2/10/2023,Heath Group,Travel
954845,M,25-10-1983,811.1,21-05-2023,Rivas-Anderson,Travel
583892,F,21-10-1999,1343.51,5/6/2023,Le Group,Travel
88900,M,29-10-1965,10.96,1/9/2023,Smith LLC,Cosmetic
83144,F,19-10-2005,99.51,7/9/2023,Rodriguez-Nguyen,Cosmetic
736259,M,29-10-1967,1035.32,11/3/2023,"Barnett, Price and Perkins",Travel
224307,M,31-10-1958,31.92,19-06-2023,Clark-Savage,Restaurant
21099,M,26-10-1976,263.9,4/7/2023,Edwards-Rodgers,Market
840937,F,24-10-1986,891.48,21-01-2023,"Dennis, Sanchez and Collins",Travel
240657,F,20-10-2000,836.15,16-04-2023,Proctor-Davis,Electronics
110112,M,30-10-1962,74.11,4/3/2023,Massey Inc,Restaurant
579730,F,23-10-1988,43.66,3/9/2023,Foster-Lopez,Market
526777,F,31-10-1956,74.03,12/1/2023,Kim LLC,Restaurant
594622,M,20-10-2000,2560.5,5/6/2023,Wilkinson Inc,Travel
787347,,25-10-1980,18.65,6/8/2023,"Rogers, Flowers and Dennis",Cosmetic
439045,F,29-10-1965,2695.47,14-09-2023,"Lee, Mahoney and Vargas",Travel
569429,F,24-10-1985,66.13,3/5/2023,Robinson-Joseph,Market
701139,,25-10-1980,243.25,28-02-2023,Vega and Sons,Clothing
134095,F,24-10-1985,1547.47,31-05-2023,Davenport LLC,Travel
248729,M,26-10-1976,83.89,18-03-2023,Atkins and Sons,Cosmetic
303872,M,19-10-2004,2428.68,1/7/2023,"Thomas, Fisher and Young",Travel
721258,F,24-10-1984,97.23,10/10/2023,Daniel PLC,Cosmetic
695579,M,22-10-1993,229.6,8/9/2023,"Tran, Roberts and Coleman",Clothing
384380,M,2/11/1950,444.59,27-09-2023,"Holland, Colon and Joseph",Electronics
881230,M,21-10-1997,113.58,10/9/2023,Jenkins Group,Cosmetic
100620,F,2/11/1951,18.49,18-06-2023,"Cobb, Perez and Thomas",Restaurant
28958,M,23-10-1989,861.67,27-02-2023,Cobb-Smith,Travel
799062,M,26-10-1979,120.31,10/5/2023,"Stevens, Armstrong and Brown",Market
459845,F,2/11/1949,2379.84,10/8/2023,"Garcia, Smith and Gay",Travel
387252,F,27-10-1972,631.76,17-03-2023,Reed Group,Electronics
747675,M,2/11/1950,480.61,1/8/2023,Williams-Sanford,Travel
123959,M,2/11/1949,11.52,12/5/2023,Mitchell-Brooks,Restaurant
106971,M,26-10-1979,2821.06,15-05-2023,"Compton, Dunn and Gilbert",Travel
179746,M,1/11/1954,986.87,18-07-2023,Davis-Meadows,Electronics
478134,M,29-10-1967,139.02,18-04-2023,Smith Inc,Cosmetic
986328,M,28-10-1968,655.77,15-04-2023,Sweeney-Smith,Electronics
248395,M,21-10-1998,285.63,2/2/2023,Wilkins PLC,Market
256977,M,26-10-1979,810.39,25-06-2023,Cox-Cooley,Electronics
623669,M,29-10-1965,48.5,26-08-2023,"May, Russo and James",Clothing
105836,M,25-10-1982,41.92,23-07-2023,Faulkner-Conley,Restaurant
810630,F,29-10-1964,50.58,26-04-2023,Vasquez Ltd,Market
260128,F,30-10-1963,537.51,21-06-2023,Romero PLC,Electronics
392787,M,29-10-1964,1581.15,22-06-2023,Webb-Martinez,Travel
862210,M,29-10-1964,27.4,11/3/2023,"Baker, Fox and Dunn",Restaurant
726946,F,1/11/1953,2326.85,27-04-2023,Gibson-Beard,Travel
320618,M,28-10-1969,927.7,12/5/2023,Hughes-Schneider,Electronics
920531,M,25-10-1983,247.18,25-02-2023,"Simmons, Meyer and Miller",Electronics
321818,F,2/11/1951,265.32,25-02-2023,"Thompson, Sellers and Wilson",Electronics
670384,M,22-10-1994,154.58,15-07-2023,Price and Sons,Clothing
512241,F,25-10-1982,65.41,16-08-2023,"Oconnor, Gonzalez and Larson",Clothing
902166,F,27-10-1972,545.65,13-05-2023,Garcia-Clark,Electronics
197927,F,2/11/1948,25.56,3/10/2023,"White, Adams and Velasquez",Clothing
59895,F,31-10-1957,711.89,10/5/2023,Solis-White,Electronics
639867,M,22-10-1995,311.92,5/2/2023,"Thompson, Keller and Wilson",Electronics
367752,M,22-10-1993,803.76,2/3/2023,Dudley and Sons,Electronics
645330,F,22-10-1992,50.23,1/7/2023,Burns-Fernandez,Cosmetic
503926,M,27-10-1975,930.34,7/3/2023,Wade-Brown,Travel
664468,F,22-10-1995,1688.38,5/6/2023,Miller-Villegas,Travel
672808,F,31-10-1958,285.98,9/5/2023,"Hansen, Ortiz and Johnson",Market
552994,F,22-10-1994,140.13,26-02-2023,Harris-Myers,Clothing
282989,,2/11/1951,332.52,27-09-2023,"Waters, Velasquez and Patterson",Electronics
584831,M,28-10-1968,1094.06,12/1/2023,"Ware, Lambert and Bernard",Travel
405970,M,21-10-1999,55.48,19-06-2023,"York, Wong and Marshall",Restaurant
855534,,31-10-1959,1784.28,18-06-2023,Lee-Greene,Travel
411991,M,19-10-2004,493.81,14-07-2023,"Brown, Barry and Colon",Market
948021,M,31-10-1956,175.04,14-08-2023,Bird-Hale,Electronics
544605,M,28-10-1969,177.74,12/4/2023,Patton-Johnson,Cosmetic
519214,F,27-10-1974,93.27,12/7/2023,Tucker PLC,Market
94568,M,2/11/1949,855.36,28-05-2023,"Stout, Owen and Cortez",Electronics
175803,F,2/11/1948,114.8,6/6/2023,"Andrews, Wright and Foley",Cosmetic
485783,F,29-10-1965,216.09,5/8/2023,Jordan Ltd,Clothing
735533,M,1/11/1955,428.61,4/1/2023,Norman LLC,Market
112710,,2/11/1951,87.37,13-03-2023,Willis-Sullivan,Market
437885,F,21-10-1999,170.29,7/10/2023,"Rangel, Caldwell and Williamson",Clothing
408054,M,26-10-1977,244.23,18-03-2023,Owens-Contreras,Clothing
375453,F,27-10-1975,92.6,31-08-2023,"Romero, Mack and Smith",Market
397729,M,20-10-2002,218.71,8/2/2023,"Hurley, Hughes and Brown",Market
965209,F,27-10-1972,85.53,14-09-2023,"Mercado, Williams and Schmidt",Clothing
555864,F,31-10-1957,276.51,9/3/2023,Ramirez-Sanchez,Market
525726,F,28-10-1968,76.37,28-08-2023,Alvarado-Lane,Restaurant
34565,F,20-10-2000,31.05,11/6/2023,"Paul, Arroyo and Garcia",Restaurant
402489,M,2/11/1951,735.88,10/2/2023,"Griffith, Taylor and Joyce",Travel
578151,F,25-10-1982,208.86,26-05-2023,Crosby-Miller,Clothing
132375,F,30-10-1962,101.76,27-09-2023,"Chavez, Reyes and Robinson",Cosmetic
322017,F,25-10-1982,643.84,11/10/2023,"Mayer, Parks and Reed",Electronics
780567,F,2/11/1949,116.38,28-08-2023,Keith Ltd,Market
467203,,25-10-1982,136.57,22-09-2023,"Johnston, Wells and King",Clothing
486633,F,30-10-1961,199.1,25-08-2023,Warren PLC,Clothing
361587,,29-10-1964,172.54,26-04-2023,Pena LLC,Market
801423,F,27-10-1974,414.2,4/5/2023,Ryan and Sons,Market
551054,F,24-10-1987,52.21,28-05-2023,Marshall PLC,Restaurant
81000,F,2/11/1949,119.04,11/10/2023,Cuevas and Sons,Market
422981,M,22-10-1992,189.72,13-06-2023,"Bowen, Murray and Moore",Clothing
630269,F,20-10-2000,422.67,23-01-2023,"Murillo, Daniels and Hunter",Electronics
410506,F,2/11/1948,17.03,1/4/2023,Whitaker PLC,Market
975380,F,1/11/1954,69.44,6/3/2023,Carlson-Weiss,Restaurant
