Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AD Nourse (SA),19351951,34,62,7,2960,231,53.81,108+,63.88,9,14,3,115,6
SR Tendulkar (IND),19892013,200,329,33,15921,248*,53.78,29437+,54.04,51,68,14,2058,69
M Labuschagne (AUS),20182023,43,76,5,3789,215,53.36,7146,53.02,11,16,4,427,12
BC Lara (ICC/WI),19902006,131,232,6,11953,400*,52.88,19753,60.51,34,48,17,1559,88
Javed Miandad (PAK),19761993,124,189,21,8832,280*,52.57,15164+,45.99,23,43,6,788,48
R Dravid (ICC/IND),19962012,164,286,32,13288,270,52.31,31258,42.51,36,63,8,1654,21
Mohammad Yousuf (PAK),19982010,90,156,12,7530,223,52.29,14372,52.39,24,33,11,957,51
Younis Khan (PAK),20002017,118,213,19,10099,313,52.05,19375,52.12,34,33,19,1082,70
RT Ponting (AUS),19952012,168,287,29,13378,257,51.85,22782,58.72,41,62,17,1509,73
J Ryder (AUS),19201929,20,32,5,1394,201*,51.62,2035+,44.86,3,9,1,102,3
A Flower (ZIM),19922002,63,112,19,4794,232*,51.54,10636,45.07,12,27,5,543,20
MEK Hussey (AUS),20052013,79,137,16,6235,195,51.52,12436,50.13,19,29,12,685,39
S Chanderpaul (WI),19942015,164,280,49,11867,203*,51.37,27395,43.31,30,66,15,1285,36
SM Gavaskar (IND),19711987,125,214,16,10122,236*,51.12,14184+,43.35,34,45,12,908,26
SR Waugh (AUS),19852004,168,260,46,10927,200,51.06,22461,48.64,32,50,22,1175,20
Abdullah Shafique (PAK),20212023,14,26,2,1220,201,50.83,2764,44.13,4,4,2,119,18
ML Hayden (AUS),19942009,103,184,14,8625,380,50.73,14349,60.10,30,29,14,1049,82
AB de Villiers (SA),20042018,114,191,18,8765,278*,50.66,16077,54.51,22,46,8,1024,64
AR Border (AUS),19781994,156,265,44,11174,205,50.56,27002+,41.09,27,63,11,1161,28
JE Root (ENG),20122023,135,247,20,11416,254,50.29,20113,56.75,30,60,12,1247,43
IVA Richards (WI),19741991,121,182,12,8540,291,50.23,9613+,69.77,24,45,10,952,84
DP Conway (NZ),20212023,16,29,1,1403,200,50.1,2719,51.59,4,8,2,177,6
DCS Compton (ENG),19371957,78,131,15,5807,278,50.06,2731+,38.81,17,28,10,342,3
DPMD Jayawardene (SL),19972014,149,252,15,11814,374,49.84,22959,51.45,34,50,15,1387,61
InzamamulHaq (ICC/PAK),19922007,120,200,22,8830,329,49.6,16345,54.02,25,46,15,1105,48
FMM Worrell (WI),19481963,51,87,9,3860,261,49.48,488+,40.16,9,22,11,240,11
CP Mead (ENG),19111928,17,26,2,1185,182*,49.37,619+,30.04,4,3,3,38,0
V Sehwag (ICC/IND),20012013,104,180,6,8586,319,49.34,10441,82.23,23,32,16,1233,91
V Kohli (IND),20112023,111,187,11,8676,254*,49.29,15708,55.23,29,29,14,966,24
Abid Ali (PAK),20192021,16,26,2,1180,215*,49.16,2445,48.26,4,3,2,148,5
MJ Clarke (AUS),20042015,115,198,22,8643,329*,49.1,15456,55.92,28,27,9,978,39
KC Bland (SA),19611966,21,39,5,1669,144*,49.08,885+,37.74,3,9,2,123,20
B Mitchell (SA),19291949,42,80,9,3471,189*,48.88,158+,29.11,8,21,3,41,1
Hon.FS Jackson (ENG),18931905,20,33,4,1415,144*,48.79,,,5,6,3,51,0
TT Samaraweera (SL),20012013,81,132,20,5462,231,48.76,11641,46.92,14,30,11,633,7
RN Harvey (AUS),19481963,79,137,10,6149,205,48.41,1799+,43.74,21,24,7,427,1
KD Walters (AUS),19651981,74,125,14,5357,250,48.26,8662+,49.16,15,33,4,525,23
GC Smith (ICC/SA),20022014,117,205,13,9265,277,48.25,15525,59.67,27,38,11,1165,24
WH Ponsford (AUS),19241934,29,48,4,2122,266,48.22,3118+,44.77,7,6,1,119,0
SJ McCabe (AUS),19301938,39,62,5,2748,232,48.21,3217+,60.02,6,13,4,241,5
DR Jardine (ENG),19281934,22,33,6,1296,127,48,2110+,25.59,1,10,2,53,0
